,application_id,appName,executor_Id,storage_memory,completedTasks_executors,totalDuration_executors(ms)
0,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,2,19844431872,5288,15095602
1,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,driver,7732101120,0,0
2,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,5,19844431872,5007,14081815
3,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,8,19844431872,3980,11926165
4,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,7,19844431872,4107,12076163
5,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,1,19844431872,5547,15668557
6,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,4,19844431872,4439,13813572
7,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,6,19844431872,4448,12948093
8,application_1545136550687_6127,MeasureSparkJob$ - historical - mssp_2019,3,19844431872,5184,14897259
9,application_1545136550687_6126,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,driver,7732101120,0,0
10,application_1545136550687_6126,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,1,19844431872,0,9561
11,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,2,19811696640,1969,7480189
12,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,driver,7732101120,0,0
13,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,5,19811696640,1932,7295329
14,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,8,19811696640,1944,7448328
15,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,7,19811696640,1333,5899182
16,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,1,19811696640,1742,7325594
17,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,4,19811696640,1905,7552111
18,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,6,19811696640,1869,7448145
19,application_1545136550687_6120,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,3,19811696640,1306,5931422
20,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,2,19811696640,0,0
21,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,driver,7732101120,0,0
22,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,5,19811696640,0,0
23,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,8,19811696640,0,0
24,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,7,19811696640,0,0
25,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,1,19811696640,0,0
26,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,4,19811696640,0,0
27,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,6,19811696640,0,0
28,application_1545136550687_6116,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,3,19811696640,0,0
29,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,2,19811696640,0,0
30,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,driver,7732101120,0,0
31,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,5,19811696640,0,0
32,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,8,19811696640,0,0
33,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,7,19811696640,0,0
34,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,1,19811696640,0,0
35,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,4,19811696640,0,0
36,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,6,19811696640,0,0
37,application_1545136550687_6115,MeasureSparkJob$ - historical - measure_config_disney_readmission_test,3,19811696640,0,0
38,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,2,19811696640,4258,18369852
39,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,driver,7732101120,0,0
40,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,17,19811696640,308,1794747
41,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,1,19811696640,4254,18284116
42,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,11,19811696640,4014,16965808
43,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,20,19811696640,0,0
44,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,6,19811696640,3205,14851417
45,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,16,19811696640,341,1756159
46,application_1545136550687_6109,MeasureSparkJob$ - historical - measure_config_2019_mix,19,19811696640,0,0
47,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,2,19811696640,8019,27985405
48,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,driver,7732101120,0,0
49,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,5,19811696640,9755,27652036
50,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,8,19811696640,9165,27549171
51,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,7,19811696640,8080,28022070
52,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,1,19811696640,9827,27763361
53,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,4,19811696640,9004,27211165
54,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,6,19811696640,8110,27998634
55,application_1545136550687_6108,MeasureSparkJob$ - historical - measure_config_2019_wi,3,19811696640,8040,28161442
56,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,2,19844431872,1677,5392482
57,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,driver,7732101120,0,0
58,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,5,19844431872,1625,4183113
59,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,7,19844431872,759,2281679
60,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,4,19844431872,1681,4176408
61,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,6,19844431872,939,2426563
62,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,9,19844431872,343,968198
63,application_1545136550687_6110,MeasureSparkJob$ - historical - measure_config_wi_prev_12_2019,10,19844431872,0,0
64,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,2,19844431872,1065,2892924
65,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,driver,7732101120,0,0
66,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,5,19811696640,280,845445
67,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,8,19844431872,4,131039
68,application_1545136550687_6111,MeasureSparkJob$ - historical - measure_config_2019_mix_prev_12,7,19844431872,13,46028
