,application_id,appName,appStartTime,appEndTime
1,application_1549995721539_0324,MeasureSparkJob$ - historical - measure_config_1,1552985350478.0,1552989321509.0
2,application_1549995721539_0326,MeasureSparkJob$ - historical - measure_config_2,1552989578896.0,1552993100687.0
3,application_1549995721539_0320,RiskSparkJob$ - historical - measure_config_1730_001,1552918049125.0,1552949082969.0
4,application_1549995721539_0323,MeasureSparkJob$ - historical - measure_config_1,1552984650914.0,1552984661757.0
5,application_1549995721539_0421,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555575135948.0,1555575308047.0
6,application_1549995721539_0422,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555575921467.0,1555576212316.0
7,application_1549995721539_0423,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555577882991.0,1555578482534.0
8,application_1549995721539_0428,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555581532898.0,1555581829699.0
9,application_1549995721539_0429,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555581912877.0,1555582205469.0
10,application_1549995721539_0430,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555582590152.0,1555582880759.0
11,application_1549995721539_0431,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555583560657.0,1555584146675.0
12,application_1549995721539_0424,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555578978473.0,1555579278048.0
13,application_1549995721539_0426,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555580119498.0,1555580744198.0
14,application_1549995721539_0438,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555588200326.0,1555589089823.0
15,application_1549995721539_0433,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555585450228.0,1555586251150.0
16,application_1549995721539_0435,ClaimAnalyticsSparkJob$ - historical - measure_config_1,1555587086682.0,1555587864449.0
17,application_1549995721539_0377,ClaimAnalyticsSparkJob$ - historical - measure_config_4,1554301731582.0,1554301741388.0
18,application_1549995721539_0389,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554476259221.0,1554476527091.0
19,application_1549995721539_0390,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554643577864.0,1554643857671.0
20,application_1549995721539_0391,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554651274018.0,1554653557196.0
21,application_1549995721539_0385,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554472272531.0,1554472638559.0
22,application_1549995721539_0387,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554473465566.0,1554475771145.0
23,application_1549995721539_0396,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554661789755.0,1554662080600.0
24,application_1549995721539_0397,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554662684852.0,1554662979516.0
25,application_1549995721539_0398,ClaimAnalyticsSparkJob$ - historical - measure_config_5,1554663607958.0,1554663909264.0
